id,trang_thai,noi_bat,ten,thanh_pho,khu_vuc,loai,mon,mon_nen_goi,dia_chi,vi_do,kinh_do,link_google_maps,gio_mo_cua,ngay_nghi,gia_tu,gia_den,wgo_cham,nhan_xet,meo,tags,dien_thoai,facebook,tiktok,anh,kiem_chung,nguon,cap_nhat
bun-bo-me-keo,hien,co,Bún bò Mệ Kéo,hue,Gia Hội,quan-an,bun-bo,Bún bò giò chả,"94 Bạch Đằng, Huế",16.487923,107.580139,,06:00-08:00,,40000,50000,,,Bán rất sớm và nhanh hết. Nên tới trước 7h,local|an-sang|lau-doi,,,,,chua,vnexpress.net,2026-09-13
bun-bo-mu-roi,hien,,Bún bò Mụ Rơi,hue,Thành Nội,quan-an,bun-bo,Bún bò có chả cua,"48 Nguyễn Chí Diễu, Huế",16.474327,107.582204,,06:00-10:00,,35000,50000,,,Nước dùng nấu bếp củi,local|an-sang|lau-doi,,,,,chua,vnexpress.net,2026-09-13
bun-bo-ba-nga,hien,co,Bún bò Bà Nga,hue,Thành Nội,quan-an,bun-bo,Bún bò cay,"62 Nguyễn Chí Diễu, Huế",16.474327,107.582204,,18:00-23:00,,30000,45000,,,Bún bò bán buổi tối. Hợp ăn khuya,local|an-khuya,,,,,chua,vnexpress.net,2026-09-13
bun-bo-hanh,hien,,Bún bò Hạnh,hue,An Cựu,quan-an,bun-bo,Bún bò chả cua to,"69 Đặng Văn Ngữ, Huế",16.456380,107.604572,,06:00-10:00,,35000,50000,,,,local|an-sang,,,,,chua,vnexpress.net,2026-09-13
com-hen-hoa-dong,hien,co,Cơm hến Hoa Đông,hue,Vỹ Dạ,quan-an,com-hen|bun-hen,Cơm hến + bánh tráng,"64 Kiệt 7 Ưng Bình, Vỹ Dạ, Huế",16.481984,107.593234,,06:30-11:00,,10000,25000,,,Quán nằm trong hẻm nhỏ. Có nguồn ghi bán cả ngày,local|binh-dan|lau-doi,,,,,chua,hue.aeonmall-vietnam.com; mia.vn,2026-09-13
com-hen-ba-cam,hien,,Cơm hến bà Cam,hue,Vỹ Dạ,quan-an,com-hen|bun-hen,Cơm hến,"49 Cồn Hến, Vỹ Dạ, Huế",16.481604,107.593237,,07:00-12:00,,20000,30000,,,Ngay trên Cồn Hến,local|binh-dan,,,,,chua,hue.aeonmall-vietnam.com,2026-09-13
banh-beo-ba-do,hien,co,Quán Bà Đỏ,hue,Gia Hội,quan-an,banh-beo|banh-nam|banh-loc|banh-khoai,Bánh nậm + bánh bèo chén,"8 Nguyễn Bỉnh Khiêm, Huế",16.482452,107.588271,,08:00-20:00,,10000,60000,,,Bánh bèo khoảng 60k/15 chén,local|lau-doi,,,,,chua,phuot3mien.com,2026-09-13
banh-beo-hue-xua,hien,,Huế Xưa,hue,Gia Hội,quan-an,banh-beo|banh-nam|banh-loc|banh-khoai|nem-lui,Mâm bánh Huế,"01 Nguyễn Bỉnh Khiêm, Huế",16.482452,107.588271,,08:00-21:00,,30000,150000,,,,gia-dinh,,,,,chua,phuot3mien.com,2026-09-13
banh-beo-ba-cu,hien,,Bà Cư (Cung An Định),hue,Trung tâm bờ Nam,quan-an,banh-beo|banh-nam|banh-loc|banh-uot,Bánh ướt + ram ít,"23/177 Phan Đình Phùng, Huế",16.455929,107.582342,,07:00-21:00,,20000,30000,,,,local|binh-dan,,,,,chua,phuot3mien.com,2026-09-13
banh-canh-thuy,hien,,Quán Thúy,hue,Trung tâm bờ Nam,quan-an,banh-canh-nam-pho|banh-beo|banh-loc,Bánh canh Nam Phổ,"16 Phạm Hồng Thái, Huế",16.463893,107.589968,,12:30-20:00,,20000,30000,,,,local|binh-dan,,,,,chua,phuot3mien.com; bazantravel.com,2026-09-13
banh-canh-o-thu,hien,,Bánh canh O Thu,hue,Gia Hội,quan-an,banh-canh-nam-pho,Bánh canh Nam Phổ,"374 Chi Lăng, Huế",16.483461,107.590304,,,,20000,30000,,,Chỉ bán khoảng 3 tiếng vào buổi chiều. Chưa rõ giờ chính xác,local,,,,,chua,bazantravel.com,2026-09-13
banh-khoai-lac-thien,hien,co,Bánh khoái Lạc Thiện,hue,Thành Nội,quan-an,banh-khoai,Bánh khoái + nước lèo gia truyền,"6 Đinh Tiên Hoàng, Huế",16.478464,107.577458,,10:00-21:30,,30000,60000,,,Quán mở từ thập niên 70,lau-doi|khach-du-lich,,,,,chua,mia.vn; foody.vn,2026-09-13
nem-lui-tai-phu,hien,,Quán Tài Phú,hue,Thành Nội,quan-an,nem-lui|banh-xeo,Nem lụi,"110 Đinh Tiên Hoàng, Huế",16.478464,107.577458,,09:00-22:00,,30000,80000,,,,gia-dinh,02343535046,,,,chua,bazantravel.com,2026-09-13
thit-nuong-ba-ty,hien,,Quán Bà Tý,hue,Thành Nội,quan-an,bun-thit-nuong|nem-lui,Bún thịt nướng,"81 Đào Duy Từ, Huế",16.479660,107.583686,,16:00-22:00,,20000,40000,,,,local|an-toi,,,,,chua,luhanhvietnam.com.vn,2026-09-13
che-hem,hien,co,Chè Hẻm,hue,Trung tâm bờ Nam,quan-nuoc,che,Chè thập cẩm,"1 Kiệt 29 Hùng Vương, Huế",16.454971,107.600545,,14:00-22:00,,10000,25000,,,Quán nằm trong kiệt (hẻm),local|an-vat|hen-ho,,https://www.facebook.com/chehem29hungvuonghue/,,,chua,mia.vn; foody.vn,2026-09-13
cafe-the-time,hien,,The Time Coffee,hue,Trung tâm bờ Nam,cafe,ca-phe,Cà phê muối,"18 Lê Lợi, Huế",16.462868,107.585457,,06:00-22:30,,30000,70000,,,View cao nhìn sông Hương. Đẹp lúc hoàng hôn,view-dep|view-song|hen-ho|check-in,,,,,chua,vincom.com.vn,2026-09-13
cafe-tan,hien,,Tan.cafe,hue,Trung tâm bờ Nam,cafe,ca-phe,,"25 Nguyễn Thị Minh Khai, Huế",16.461228,107.597035,,06:00-22:00,,14000,36000,,,Không gian vintage,check-in|binh-dan,,,,,chua,vincom.com.vn,2026-09-13
cafe-vy-da-xua,hien,co,Café Vỹ Dạ Xưa,hue,Vỹ Dạ,cafe,ca-phe,,"131 Nguyễn Sinh Cung, Vỹ Dạ, Huế",16.483954,107.595883,,06:30-22:00,,30000,70000,,,Nhà rường + sân vườn,view-dep|yen-tinh|hen-ho|check-in,,,,,chua,vincom.com.vn,2026-09-13
dai-noi,hien,co,Đại Nội (Hoàng thành Huế),hue,Thành Nội,check-in,,,"Đường 23 Tháng 8, Huế",16.468973,107.578127,,,,200000,200000,,,Giá vé là vé người lớn. Giờ mở cửa cần kiểm tra,check-in|di-tich|khach-du-lich,,,,,chua,intour.vn,2026-09-13
cau-truong-tien,hien,,Cầu Trường Tiền,hue,Trung tâm bờ Nam,check-in,,,"Cầu Trường Tiền, Huế",16.467800,107.590400,,00:00-24:00,,0,0,,,Đẹp nhất lúc tối lên đèn,check-in|view-song|mien-phi|hen-ho,,,,,chua,tọa độ nhập tay (ước lượng),2026-09-13
chua-thien-mu,hien,,Chùa Thiên Mụ,hue,Kim Long,check-in,,,"Đường Văn Thánh, Kim Long, Huế",16.453719,107.544581,,,,0,0,,,Ăn mặc lịch sự. Giờ mở cửa cần kiểm tra,check-in|di-tich|view-song|mien-phi,,,,,chua,intour.vn,2026-09-13
lang-khai-dinh,hien,,Lăng Khải Định,hue,Thủy Xuân (ngoại ô),check-in,,,"Thủy Bằng, Huế",16.399017,107.590339,,06:30-17:30,,150000,150000,,,Cách trung tâm khoảng 10 km. Các nguồn ghi giá vé khác nhau,check-in|di-tich|xa-trung-tam,,,,,chua,phanvantravel.com,2026-09-13
